Bill_No,Acct_No,Bill_Date,Due_Date,B_Status,MR_Sys_No,Due_Penalty,Penalized,B_Code,Receivable,Collected
10254444,111202360,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338062,20,FALSE,7,200,200
10254445,111202370,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338063,33.4,FALSE,7,333.75,333.75
10254446,111202400,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338064,33.4,FALSE,7,333.75,317.07
10254447,111202440,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338065,20,FALSE,7,200,200
10254449,111202470,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338066,20,TRUE,3,426,0
10254449,111202470,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338066,20,TRUE,7,200,0
10254449,111202470,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338066,20,TRUE,10,20,0
10254451,111202540,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338067,20,FALSE,3,418,418
10254451,111202540,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338067,20,FALSE,7,200,190
10254453,111202550,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338068,28.05,FALSE,3,396.55,396.55
10254453,111202550,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338068,28.05,FALSE,7,280.25,280.25
10254454,111202560,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338069,20,TRUE,7,200,0
10254454,111202560,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338069,20,TRUE,10,20,0
10254455,111202580,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338070,77.15,TRUE,3,848.4,0
10254455,111202580,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338070,77.15,TRUE,7,771.25,0
10254455,111202580,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338070,77.15,TRUE,10,77.15,0
10254456,111202600,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338071,20,FALSE,7,200,200
10254458,111202620,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338072,36.05,TRUE,3,337.7,337.7
10254458,111202620,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338072,36.05,TRUE,7,360.5,0
10254458,111202620,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338072,36.05,TRUE,10,36.05,0
10254466,111202650,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338073,20,FALSE,7,200,200
10254459,111202670,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338074,101,FALSE,7,1010,1010
10254467,111202840,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338075,84.6,FALSE,3,2102.1,2102.1
10254467,111202840,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338075,84.6,FALSE,7,846,846
10254468,111202860,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338076,30.7,TRUE,7,307,307
10254468,111202860,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338076,30.7,TRUE,10,30.7,30.7
10254469,111202880,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338077,50.15,TRUE,3,625.65,0
10254469,111202880,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338077,50.15,TRUE,7,501.25,0
10254469,111202880,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338077,50.15,TRUE,10,50.15,0
10254470,111202894,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338078,33.4,TRUE,3,367.15,367.15
10254470,111202894,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338078,33.4,TRUE,7,333.75,333.75
10254470,111202894,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338078,33.4,TRUE,10,33.4,33.4
10254471,111202900,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338079,22.7,FALSE,7,226.75,226.75
10254472,111202920,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338080,36.05,FALSE,7,360.5,342.48
10254473,111202940,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338081,38.75,FALSE,7,387.25,387.25
10254474,111202980,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338082,67,TRUE,7,670,0
10254474,111202980,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338082,67,TRUE,10,67,0
10254475,111203000,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338083,25.35,FALSE,7,253.5,240.83
10254476,111203020,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338084,28.05,FALSE,7,280.25,266.24
10254478,111203040,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338085,25.35,TRUE,3,484.85,0
10254478,111203040,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338085,25.35,TRUE,7,253.5,0
10254478,111203040,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338085,25.35,TRUE,10,25.35,0
10254479,111203060,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338086,36.05,TRUE,3,455.4,455.4
10254479,111203060,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338086,36.05,TRUE,7,360.5,0
10254479,111203060,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338086,36.05,TRUE,10,36.05,0
10254528,111203120,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338087,30.7,FALSE,7,307,307
10254481,111203140,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338088,33.4,FALSE,7,333.75,333.75
10254510,111203150,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338089,212.6,FALSE,7,2126,0
