Acct_No,Mtr_No,PrevMR_Date,MR_Date,Prev_Rdg,Cur_Rdg,Cur_Consumption
111200470,ED-18-15-01881,2-1-2019,3-1-2019,7,17,10
111200480,ED-18-15-01315,2-1-2019,3-1-2019,5,16,11
111200490,ED-18-15-01314,2-1-2019,3-1-2019,7,14,7
111200500,ED-18-15-01572,2-1-2019,3-1-2019,10,22,12
111200510,ED-18-15-01618,2-1-2019,3-1-2019,7,18,11
111200540,40217541,2-1-2019,3-1-2019,2101,2112,11
111200550,ED-18-15-01495,2-1-2019,3-1-2019,8,13,5
111200560,ED-18-15-01576,2-1-2019,3-1-2019,16,45,29
111200570,ED-18-15-01346,2-1-2019,3-1-2019,3,8,5
111200590,80601272,2-1-2019,3-1-2019,1897,1905,8
111200600,ED-18-15-01355,2-1-2019,3-1-2019,18,50,32
111200610,ED-18-15-01468,2-1-2019,3-1-2019,14,31,17
111200620,ED-18-15-01467,2-1-2019,3-1-2019,103,258,155
111200630,ED-18-15-01476,2-1-2019,3-1-2019,120,259,139
111200640,17NB044800,2-1-2019,3-1-2019,233,255,22
111200650,ED-18-15-01466,2-1-2019,3-1-2019,11,29,18
111200660,ED-18-15-01470,2-1-2019,3-1-2019,11,26,15
111200681,ED-18-15-01464,2-1-2019,3-1-2019,14,31,17
111200700,ED-18-15-01465,2-1-2019,3-1-2019,11,26,15
111200710,160870330,2-1-2019,3-1-2019,336,341,5
111200730,17NB044803,2-1-2019,3-1-2019,222,233,11
111200740,ED-18-15-01331,2-1-2019,3-1-2019,5,15,10
111200760,4220218,2-1-2019,3-1-2019,882,888,6
111200770,17NB023592,2-1-2019,3-1-2019,328,339,11
111200780,ED-18-15-01334,2-1-2019,3-1-2019,8,24,16
111200790,17NB023594,2-1-2019,3-1-2019,343,361,18
111200800,728854,2-1-2019,3-1-2019,1751,1757,6
111200801,ED-18-15-10149,2-1-2019,3-1-2019,3188,3204,16
111200810,17NB044805,2-1-2019,3-1-2019,297,313,16
111200820,1529,2-1-2019,3-1-2019,1117,1126,9
111200830,ED-18-15-01366,2-1-2019,3-1-2019,11,24,13
111200840,ED-18-15-01340,2-1-2019,3-1-2019,10,25,15
111200842,9671530,2-1-2019,3-1-2019,1170,1174,4
111200850,ED-18-15-01333,2-1-2019,3-1-2019,8,24,16
111200860,ED-18-15-01475,2-1-2019,3-1-2019,9,23,14
111200870,17NB023593,2-1-2019,3-1-2019,289,306,17
111200881,140109697,2-1-2019,3-1-2019,563,574,11
111200882,80601255,2-1-2019,3-1-2019,746,753,7
111200890,ED-18-15-01339,2-1-2019,3-1-2019,4,9,5
111200900,ED-18-15-01335,2-1-2019,3-1-2019,12,31,19
111200910,1331,2-1-2019,3-1-2019,945,964,19
111200920,17NB04326,2-1-2019,3-1-2019,305,317,12
111200930,ED-18-15-01638,2-1-2019,3-1-2019,12,30,18
111200931,ED-18-15-01250,2-1-2019,3-1-2019,6,15,9
111200940,ED-18-15-09708,2-1-2019,3-1-2019,7,18,11
111200950,11270405,2-1-2019,3-1-2019,1122,1126,4
111200960,ED-18-15-01557,2-1-2019,3-1-2019,7,15,8
111200961,ED-18-15-01648,2-1-2019,3-1-2019,4,9,5
111200970,ED-18-15-01556,2-1-2019,3-1-2019,9,23,14
111200980,4220072,2-1-2019,3-1-2019,1348,1355,7
111200990,ED-18-15-01360,2-1-2019,3-1-2019,4,11,7
111201020,ED-18-15-01358,2-1-2019,3-1-2019,12,32,20
111201030,ED-18-15-01552,2-1-2019,3-1-2019,8,16,8
111201040,703300303,2-1-2019,3-1-2019,2093,2094,1
111201060,ED-18-15-01356,2-1-2019,3-1-2019,7,20,13
111201070,ED-18-15-09895,2-1-2019,3-1-2019,6,20,14
111201080,17NB023591,2-1-2019,3-1-2019,541,568,27
111201090,ED-18-15-01636,2-1-2019,3-1-2019,12,34,22
111201100,ED-18-15-01329,2-1-2019,3-1-2019,9,24,15
111201110,ED-18-15-01635,2-1-2019,3-1-2019,9,24,15
111201120,ED-18-15-01634,2-1-2019,3-1-2019,7,15,8
111201140,ED-18-15-09940,2-1-2019,3-1-2019,7,21,14
111201741,ED-18-15-01337,2-1-2019,3-1-2019,19,47,28
111201760,17NB044551,2-1-2019,3-1-2019,296,307,11
111201780,1002459,2-1-2019,3-1-2019,833,839,6
111201790,ED-18-15-10258,2-1-2019,3-1-2019,6,18,12
111201820,990612512,2-1-2019,3-1-2019,2396,2405,9
111201840,ED-18-15-10259,2-1-2019,3-1-2019,7,15,8
111201860,1401006759,2-1-2019,3-1-2019,615,629,14
111201890,ED-18-15-01303,2-1-2019,3-1-2019,4,8,4
111201920,1202399,2-1-2019,3-1-2019,963,985,22
111202060,90272728,2-1-2019,3-1-2019,1773,1795,22
111202100,90272737,2-1-2019,3-1-2019,106,114,8
111202110,ED-18-15-10077,2-1-2019,3-1-2019,563,597,34
111202140,90272913,2-1-2019,3-1-2019,808,819,11
111202150,90272711,2-1-2019,3-1-2019,1146,1163,17
111202180,60103043,2-1-2019,3-1-2019,891,906,15
111202210,1000861,2-1-2019,3-1-2019,808,830,22
111202220,17NB045085,2-1-2019,3-1-2019,805,818,13
111202270,17NB026984,2-1-2019,3-1-2019,346,369,23
111202300,ED-18-15-01637,2-1-2019,3-1-2019,3,7,4
111202310,ED-18-15-01631,2-1-2019,3-1-2019,12,29,17
111202340,ED-18-15-10262,2-1-2019,3-1-2019,10,27,17
111202360,90272919,2-1-2019,3-1-2019,595,599,4
111202370,ED-18-15-10156,2-1-2019,3-1-2019,8,16,8
111202400,ED-18-15-09728,2-1-2019,3-1-2019,5,12,7
111202440,ED-18-15-01336,2-1-2019,3-1-2019,5,13,8
111202470,ED-18-15-09746,2-1-2019,3-1-2019,2,9,7
111202540,ED-18-15-01633,2-1-2019,3-1-2019,5,10,5
111202550,90272678,2-1-2019,3-1-2019,528,540,12
111202560,ED-18-15-01524,2-1-2019,3-1-2019,8,21,13
111202580,17NB036354,2-1-2019,3-1-2019,514,537,23
111202600,727,2-1-2019,3-1-2019,765,776,11
111202620,679,2-1-2019,3-1-2019,761,771,10
111202650,ED-18-15-01528,2-1-2019,3-1-2019,5,13,8
111202670,17NB44553,2-1-2019,3-1-2019,424,450,26
111202840,ED-18-15-01277,2-1-2019,3-1-2019,13,34,21
111202860,1600540670,2-1-2019,3-1-2019,434,447,13
111202880,140812202,2-1-2019,3-1-2019,741,761,20
111202894,2440,2-1-2019,3-1-2019,854,862,8
111202900,ED-18-15-01508,2-1-2019,3-1-2019,26,65,39
111202920,ED-18-15-01268,2-1-2019,3-1-2019,12,26,14
111202940,17NB044552,2-1-2019,3-1-2019,247,262,15
111202980,17NB026981,2-1-2019,3-1-2019,424,443,19
111203000,100311140,2-1-2019,3-1-2019,949,957,8
111203020,4240479,2-1-2019,3-1-2019,2039,2050,11
111203040,11440,2-1-2019,3-1-2019,1626,1633,7
111203060,402020,2-1-2019,3-1-2019,2229,2242,13
111203120,ED-18-15-01632,2-1-2019,3-1-2019,7,25,18
111203140,17NB026988,2-1-2019,3-1-2019,311,323,12
111203150,ED-18-15-09643,2-1-2019,3-1-2019,4,13,9
111203160,150913724,2-1-2019,3-1-2019,412,460,48
111203170,ED-18-15-01338,2-1-2019,3-1-2019,10,26,16
111203180,60103233,2-1-2019,3-1-2019,1039,1052,13
111203190,107259,2-1-2019,3-1-2019,970,978,8
111203200,150903292,2-1-2019,3-1-2019,362,367,5
111203210,ED-18-15-09539,2-1-2019,3-1-2019,6,16,10
111203240,17NB026989,2-1-2019,3-1-2019,598,628,30
111203250,1045298,2-1-2019,3-1-2019,39,46,7
111203280,ED-18-15-01523,2-1-2019,3-1-2019,5,18,13
111203310,101021623,2-1-2019,3-1-2019,321,323,2
111203311,101023962,2-1-2019,3-1-2019,1220,1230,10
111203312,101020860,2-1-2019,3-1-2019,942,952,10
111203316,ED-18-15-07546,2-1-2019,3-1-2019,4,10,6
111203900,17NB026690,2-1-2019,3-1-2019,227,238,11
111203940,17NB026987,2-1-2019,3-1-2019,256,270,14
111203960,ED-18-15-01606,2-1-2019,3-1-2019,9,27,18
111203961,1103096,2-1-2019,3-1-2019,1101,1109,8
111204180,4240472,2-1-2019,3-1-2019,968,972,4
111204200,ED-18-15-01601,2-1-2019,3-1-2019,23,50,27
111204280,17NB028125,2-1-2019,3-1-2019,393,412,19
111204290,ED-18-15-01604,2-1-2019,3-1-2019,7,21,14
111204340,ED-18-15-01377,2-1-2019,3-1-2019,3,7,4
111204420,ED-18-15-01603,2-1-2019,3-1-2019,15,42,27
111204510,18NB046292,2-1-2019,3-1-2019,358,398,40
111204560,14739,2-1-2019,3-1-2019,794,805,11
111204570,2309,2-1-2019,3-1-2019,743,755,12
111204620,44088,2-1-2019,3-1-2019,270,290,20
111204624,ED-18-15-01583,2-1-2019,3-1-2019,12,29,17
111204700,1320,2-1-2019,3-1-2019,1002,1025,23
111204710,11-01139,2-1-2019,3-1-2019,848,858,10
111204720,990612785,2-1-2019,3-1-2019,1056,1077,21
111204730,401315,2-1-2019,3-1-2019,329,334,5
111204750,400666,2-1-2019,3-1-2019,386,395,9
111204751,227,2-1-2019,3-1-2019,769,778,9
111204760,1475,2-1-2019,3-1-2019,738,751,13
111204940,ED-18-15-01658,2-1-2019,3-1-2019,6,15,9
111204950,2290,2-1-2019,3-1-2019,777,787,10
111205140,ED-18-15-01609,2-1-2019,3-1-2019,11,30,19
111205220,ED-18-15-01522,2-1-2019,3-1-2019,11,28,17
111205230,ED-18-15-01558,2-1-2019,3-1-2019,11,39,28
111205240,ED-18-15-10145,2-1-2019,3-1-2019,9,34,25
111205300,ED-18-15-01649,2-1-2019,3-1-2019,7,13,6
111205310,ED-18-15-01530,2-1-2019,3-1-2019,11,31,20
111205340,ED-18-15-01529,2-1-2019,3-1-2019,10,28,18
111205341,ED-18-15-01526,2-1-2019,3-1-2019,10,25,15
111205351,150913209,2-1-2019,3-1-2019,568,604,36
111205360,17NB036356,2-1-2019,3-1-2019,419,432,13
111205370,ED-18-15-01587,2-1-2019,3-1-2019,13,25,12
111205410,17NB028121,2-1-2019,3-1-2019,383,408,25
111205430,17NB028126,2-1-2019,3-1-2019,1627,1753,126
111205450,ED-18-15-10142,2-1-2019,3-1-2019,5,14,9
111205800,160761238,2-1-2019,3-1-2019,274,280,6
111205820,17NB028130,2-1-2019,3-1-2019,525,548,23
111205822,ED-18-15-01554,2-1-2019,3-1-2019,7,15,8
111205880,17NB028128,2-1-2019,3-1-2019,268,313,45
111205900,1167,2-1-2019,3-1-2019,742,754,12
111205910,17NB036352,2-1-2019,3-1-2019,108,116,8
111205920,20932018,2-1-2019,3-1-2019,944,956,12
111205940,ED-18-15-01560,2-1-2019,3-1-2019,48,96,48
111206140,316,2-1-2019,3-1-2019,722,729,7
111206150,ED-18-15-10468,2-1-2019,3-1-2019,10,26,16
111206180,ED-18-15-09470,2-1-2019,3-1-2019,8,41,33
111206220,ED-18-15-10466,2-1-2019,3-1-2019,9,25,16
111206240,ED-18-15-07701,2-1-2019,3-1-2019,6,18,12
111206270,2414,2-1-2019,3-1-2019,1230,1240,10
111206500,718,2-1-2019,3-1-2019,249,253,4
111206570,ED-18-15-10473,2-1-2019,3-1-2019,3,9,6
111206590,215,2-1-2019,3-1-2019,2,8,6
111206640,717,2-1-2019,3-1-2019,706,717,11
111206700,9662607,2-1-2019,3-1-2019,2827,2843,16
111206740,1424,2-1-2019,3-1-2019,1479,1496,17
111206760,1262,2-1-2019,3-1-2019,1540,1558,18
111206800,ED-18-15-09473,2-1-2019,3-1-2019,7,21,14
111206820,17NB036351,2-1-2019,3-1-2019,400,419,19
111206860,ED-18-15-09551,2-1-2019,3-1-2019,7,20,13
111206870,21209186,2-1-2019,3-1-2019,2619,2635,16
111206890,ED-18-15-09698,2-1-2019,3-1-2019,5,14,9
111206900,ED-18-15-09554,2-1-2019,3-1-2019,6,18,12
111206910,240,2-1-2019,3-1-2019,752,759,7
111206990,160652001,2-1-2019,3-1-2019,157,158,1
111207060,17NB029345,2-1-2019,3-1-2019,392,411,19
111207070,ED-18-15-09468,2-1-2019,3-1-2019,6,21,15
111207130,ED-18-15-09437,2-1-2019,3-1-2019,9,27,18
111207180,1216,2-1-2019,3-1-2019,1721,1732,11
111207190,8718416,2-1-2019,3-1-2019,2026,2044,18
111207200,ED-18-15-09548,2-1-2019,3-1-2019,11,26,15
111207210,ED-18-15-09697,2-1-2019,3-1-2019,98,135,37
111207220,ED-18-15-09555,2-1-2019,3-1-2019,8,28,20
111207670,902839,2-1-2019,3-1-2019,736,743,7
111207693,ED-18-15-01521,2-1-2019,3-1-2019,9,24,15
111207694,961,2-1-2019,3-1-2019,948,959,11
111207695,ED-18-15-01559,2-1-2019,3-1-2019,9,20,11
111207697,ED-18-15-01469,2-1-2019,3-1-2019,89,207,118
111207698,1000789,2-1-2019,3-1-2019,766,773,7
111207699,1102629,2-1-2019,3-1-2019,246,247,1
111207700,ED-18-15-10265,2-1-2019,3-1-2019,35,157,122
111207702,ED-18-15-10261,2-1-2019,3-1-2019,15,38,23
111207703,17NB044418,2-1-2019,3-1-2019,453,494,41
111207704,101021937,2-1-2019,3-1-2019,29,66,37
111207705,ED-18-15-01610,2-1-2019,3-1-2019,38,109,71
111207706,150913692,2-1-2019,3-1-2019,496,511,15
111207707,14125,2-1-2019,3-1-2019,772,779,7
111207709,901985,2-1-2019,3-1-2019,556,564,8
111207710,1235,2-1-2019,3-1-2019,562,570,8
111207711,ED-18-15-01332,2-1-2019,3-1-2019,21,57,36
111207712,70902933,2-1-2019,3-1-2019,41,57,16
111207714,400353,2-1-2019,3-1-2019,678,688,10
111207715,401273,2-1-2019,3-1-2019,1033,1052,19
111207716,400337,2-1-2019,3-1-2019,317,318,1
111207720,3762,2-1-2019,3-1-2019,975,1000,25
111207721,150202888,2-1-2019,3-1-2019,745,754,9
111207722,4257,2-1-2019,3-1-2019,622,635,13
111207723,ED-18-15-09471,2-1-2019,3-1-2019,10,23,13
111207724,150913446,2-1-2019,3-1-2019,518,531,13
111207725,150913377,2-1-2019,3-1-2019,829,856,27
111207726,150913210,2-1-2019,3-1-2019,1,2,1
111207727,160541482,2-1-2019,3-1-2019,281,286,5
111207728,160540501,2-1-2019,3-1-2019,172,181,9
111207730,160651215,2-1-2019,3-1-2019,345,358,13
111207732,17NB027905,2-1-2019,3-1-2019,129,137,8
111207733,17NB029805,2-1-2019,3-1-2019,509,541,32
111207734,17NB045294,2-1-2019,3-1-2019,121,129,8
111207735,17NB045295,2-1-2019,3-1-2019,96,103,7
111207736,17NB045023,2-1-2019,3-1-2019,157,172,15
111207737,17NB043482,2-1-2019,3-1-2019,149,158,9
111207738,00935OLD METER,2-1-2019,3-1-2019,331,373,42
111207739,18NB049282,2-1-2019,3-1-2019,59,67,8
111207740,18NB048929,2-1-2019,3-1-2019,27,28,1
111207741,966917,2-1-2019,3-1-2019,9,22,13
111207742,070904082-1,2-1-2019,3-1-2019,22,28,6
111207743,990612007,2-1-2019,3-1-2019,80,81,1
111207744,80379800,2-1-2019,3-1-2019,36,47,11
111207745,728880,2-1-2019,3-1-2019,19,28,9
111207746,21008754,2-1-2019,3-1-2019,18,30,12
111207747,70301212,2-1-2019,3-1-2019,9,15,6
112202700,ED-18-15-01363,2-1-2019,3-1-2019,31,62,31
112202710,17NB026982,2-1-2019,3-1-2019,626,667,41
112202720,17NB026983,2-1-2019,3-1-2019,934,954,20
112203840,ED-18-15-01381,2-1-2019,3-1-2019,6,31,25
112203990,ED-18-15-10257,2-1-2019,3-1-2019,15,22,7
112204140,17NB044802,2-1-2019,3-1-2019,128,138,10
112204210,966310,2-1-2019,3-1-2019,5,6,1
113200190,1002460,2-1-2019,3-1-2019,488,493,5
113200240,ED-18-15-01578,2-1-2019,3-1-2019,27,57,30
113200670,17NB044557,2-1-2019,3-1-2019,298,316,18
113200720,ED-18-15-01461,2-1-2019,3-1-2019,3,5,2
113203100,ED-18-15-01535,2-1-2019,3-1-2019,14,31,17
113205350,ED-18-15-01527,2-1-2019,3-1-2019,8,19,11
113205720,166799,2-1-2019,3-1-2019,365,385,20
113205770,748,2-1-2019,3-1-2019,456,459,3
113205810,ED-18-15-01551,2-1-2019,3-1-2019,5,8,3
113206000,ED-18-15-01555,2-1-2019,3-1-2019,5,11,6
113206080,17NB028129,2-1-2019,3-1-2019,572,623,51
113206300,ED-18-15-09540,2-1-2019,3-1-2019,4,12,8
113206360,17NB036353,2-1-2019,3-1-2019,261,274,13
113206460,17NB029341,2-1-2019,3-1-2019,408,426,18
113207000,48967,2-1-2019,3-1-2019,264,267,3
113207020,ED-18-15-09463,2-1-2019,3-1-2019,10,27,17
114200680,ED-18-15-01463,2-1-2019,3-1-2019,8,25,17
114204150,80379775,2-1-2019,3-1-2019,609,617,8
114204320,ED-18-15-01605,2-1-2019,3-1-2019,8,15,7
114204520,14138,2-1-2019,3-1-2019,1002,1018,16
114204770,17NB028123,2-1-2019,3-1-2019,688,717,29
114205000,9661153,2-1-2019,3-1-2019,2,2,0
114205040,1705,2-1-2019,3-1-2019,837,850,13
114206060,ED-18-15-09699,2-1-2019,3-1-2019,2,7,5
114207240,17NB029347,2-1-2019,3-1-2019,1055,1098,43
114207250,ED-18-15-09466,2-1-2019,3-1-2019,7,24,17
115200220,17NB023596,2-1-2019,3-1-2019,460,492,32
115200280,17NB023597,2-1-2019,3-1-2019,896,947,51
115200450,17NB023595,2-1-2019,3-1-2019,871,919,48
115203600,ED-18-15-10263,2-1-2019,3-1-2019,9,24,15
115205730,ED-18-15-09474,2-1-2019,3-1-2019,5,14,9
115205740,ED-18-15-10084,2-1-2019,3-1-2019,3,6,3
115206100,17NB029344,2-1-2019,3-1-2019,380,395,15
115206440,21209282,2-1-2019,3-1-2019,485,508,23
116203500,ED-18-15-09893,2-1-2019,3-1-2019,8,44,36
117203300,ED-18-15-01639,2-1-2019,3-1-2019,6,14,8
120203310,80379377,2-1-2019,3-1-2019,750,754,4
123203320,2183,2-1-2019,3-1-2019,635,643,8
126203330,ED-18-15-01413,2-1-2019,3-1-2019,2,3,1
211207090,ED-18-15-10256,2-1-2019,3-1-2019,7,18,11
211207350,ED-18-15-01525,2-1-2019,3-1-2019,6,14,8
211207682,ED-18-15-10138,2-1-2019,3-1-2019,11,28,17
211207683,ED-18-15-09887,2-1-2019,3-1-2019,10,27,17
211207684,2343,2-1-2019,3-1-2019,615,630,15
211207685,ED-18-15-09894,2-1-2019,3-1-2019,7,20,13
211207686,970,2-1-2019,3-1-2019,1285,1297,12
211207687,2413,2-1-2019,3-1-2019,5,13,8
211207688,2500,2-1-2019,3-1-2019,856,871,15
211207691,2352,2-1-2019,3-1-2019,958,969,11
211207692,70904082,2-1-2019,3-1-2019,54,64,10
311204200,160870316,2-1-2019,3-1-2019,242,250,8
314205676,160132829,2-1-2019,3-1-2019,304,314,10
314205700,18NB046290,2-1-2019,3-1-2019,33,40,7
411203130,ED-18-15-10083,2-1-2019,3-1-2019,6,13,7
415201990,101023802,2-1-2019,3-1-2019,867,874,7
511205640,1102513,2-1-2019,3-1-2019,598,605,7
111207719,140106404,11-1-2018,3-1-2019,569,610,41
111203313,101023810,2-2-2019,3-2-2019,748,760,12
111207729,17NB033892,2-2-2019,3-2-2019,89,92,3
211200010,ED-18-15-09703,2-2-2019,3-2-2019,8,24,16
211200020,21206528,2-2-2019,3-2-2019,184,195,11
211200024,17NB042112,2-2-2019,3-2-2019,149,153,4
211200060,ED-18-15-09704,2-2-2019,3-2-2019,7,21,14
211200100,2100189,2-2-2019,3-2-2019,1197,1210,13
211200110,ED-18-15-10015,2-2-2019,3-2-2019,3,9,6
211200130,990611799,2-2-2019,3-2-2019,2,13,11
211200150,150934989,2-2-2019,3-2-2019,691,702,11
211200170,410007687,2-2-2019,3-2-2019,4,13,9
211200180,ED-18-15-10196,2-2-2019,3-2-2019,7,25,18
211200190,ED-18-15-10463,2-2-2019,3-2-2019,3,15,12
211200199,ED-18-15-10006,2-2-2019,3-2-2019,3,11,8
211200200,ED-18-15-10280,2-2-2019,3-2-2019,5,10,5
211200230,ED-18-15-10205,2-2-2019,3-2-2019,9,29,20
211200240,ED-18-15-10198,2-2-2019,3-2-2019,6,11,5
211200250,ED-18-15-10197,2-2-2019,3-2-2019,3,5,2
211200260,ED-18-15-09700,2-2-2019,3-2-2019,1,5,4
211200280,021-01-028,2-2-2019,3-2-2019,2,4,2
211200300,ED-18-15-09696,2-2-2019,3-2-2019,7,20,13
211200310,ED-18-15-09475,2-2-2019,3-2-2019,10,28,18
211200340,90271402,2-2-2019,3-2-2019,1713,1731,18
211200351,021-01-357A,2-2-2019,3-2-2019,1042,1051,9
211200360,9592371,2-2-2019,3-2-2019,198,204,6
211200380,140106489,2-2-2019,3-2-2019,377,387,10
211200381,90274946,2-2-2019,3-2-2019,243,249,6
211200390,8513194,2-2-2019,3-2-2019,1881,1894,13
211200420,ED-18-15-09472,2-2-2019,3-2-2019,6,15,9
211200450,17NB036357,2-2-2019,3-2-2019,333,343,10
211200453,160132822,2-2-2019,3-2-2019,455,474,19
211200460,17NB036355,2-2-2019,3-2-2019,415,426,11
211200480,17NB029350,2-2-2019,3-2-2019,665,699,34
211200490,990613440,2-2-2019,3-2-2019,304,316,12
211200500,90271408,2-2-2019,3-2-2019,1254,1262,8
211200520,ED-18-15-09544,2-2-2019,3-2-2019,9,26,17
211200540,90271393,2-2-2019,3-2-2019,1593,1598,5
211200572,ED-18-15-09860,2-2-2019,3-2-2019,1,2,1
211200573,ED-18-15-09558,2-2-2019,3-2-2019,4,8,4
211200600,ED-18-15-10202,2-2-2019,3-2-2019,5,14,9
211200660,90271395,2-2-2019,3-2-2019,1085,1090,5
211200671,140105256,2-2-2019,3-2-2019,251,254,3
211200680,021-01-068,2-2-2019,3-2-2019,291,302,11
211200800,904703,2-2-2019,3-2-2019,182,190,8
211200830,17nb044084,2-2-2019,3-2-2019,76,78,2
211200840,17NB029738,2-2-2019,3-2-2019,505,522,17
211200850,ED-18-15-10363,2-2-2019,3-2-2019,7,21,14
211200880,247,2-2-2019,3-2-2019,1227,1254,27
211200920,17NB027908,2-2-2019,3-2-2019,83,88,5
211200970,ED-18-15-09542,2-2-2019,3-2-2019,2,7,5
211200990,17NB044394,2-2-2019,3-2-2019,179,181,2
211201010,021876-18,2-2-2019,3-2-2019,74,98,24
211201021,70904595,2-2-2019,3-2-2019,1640,1662,22
211201030,ED-18-15-09922,2-2-2019,3-2-2019,16,56,40
211201040,14726,2-2-2019,3-2-2019,395,404,9
211201060,ED-18-15-10356,2-2-2019,3-2-2019,15,45,30
211201070,ED-18-15-10422,2-2-2019,3-2-2019,6,18,12
211201110,ED-18-15-10204,2-2-2019,3-2-2019,5,14,9
211201130,17NB036359,2-2-2019,3-2-2019,187,192,5
211201160,ED-18-15-10318,2-2-2019,3-2-2019,8,29,21
211201180,17NB036360,2-2-2019,3-2-2019,268,278,10
211201190,163599,2-2-2019,3-2-2019,165,175,10
211201240,9603423,2-2-2019,3-2-2019,349,376,27
211201260,ED-18-15-10423,2-2-2019,3-2-2019,5,14,9
211201270,ED-18-15-10421,2-2-2019,3-2-2019,4,10,6
211201300,163399,2-2-2019,3-2-2019,240,252,12
211201310,140105246,2-2-2019,3-2-2019,606,623,17
211201330,17NB033898,2-2-2019,3-2-2019,676,707,31
211201350,ED-18-15-10391,2-2-2019,3-2-2019,4,6,2
211201380,17NB033900,2-2-2019,3-2-2019,167,174,7
211201390,ED-18-15-10420,2-2-2019,3-2-2019,8,26,18
211201430,96639,2-2-2019,3-2-2019,197,210,13
211201460,20982229,2-2-2019,3-2-2019,148,157,9
211201470,17NB029343,2-2-2019,3-2-2019,224,231,7
211201480,17NB045223,2-2-2019,3-2-2019,506,540,34
211201572,101020949,2-2-2019,3-2-2019,1151,1155,4
211201600,8707295,2-2-2019,3-2-2019,1480,1482,2
211201610,17NB042111,2-2-2019,3-2-2019,222,232,10
211201650,17nb039399,2-2-2019,3-2-2019,384,440,56
211201661,17NB033930,2-2-2019,3-2-2019,143,155,12
211201700,17NB042109,2-2-2019,3-2-2019,250,268,18
211201770,140106773,2-2-2019,3-2-2019,1094,1121,27
211201790,17NB042114,2-2-2019,3-2-2019,652,694,42
211201810,160652006,2-2-2019,3-2-2019,276,281,5
211201840,17NB042117,2-2-2019,3-2-2019,343,367,24
211201860,9661153,2-2-2019,3-2-2019,282,295,13
211201870,17NB042116,2-2-2019,3-2-2019,254,268,14
211201880,1939,2-2-2019,3-2-2019,856,866,10
211201930,17NB042118,2-2-2019,3-2-2019,129,139,10
211201950,150200580,2-2-2019,3-2-2019,914,929,15
211201960,150913354,2-2-2019,3-2-2019,592,607,15
211201970,17NB043959,2-2-2019,3-2-2019,263,280,17
211202000,140105212,2-2-2019,3-2-2019,940,966,26
211202001,ED-18-15-09924,2-2-2019,3-2-2019,5,19,14
211202010,ED-18-15-09921,2-2-2019,3-2-2019,4,14,10
211202020,ED-18-15-09785,2-2-2019,3-2-2019,5,18,13
211202030,17NB043965,2-2-2019,3-2-2019,178,189,11
211202040,ED-18-15-09519,2-2-2019,3-2-2019,3,12,9
211202060,1102688,2-2-2019,3-2-2019,292,310,18
211202070,ED-18-15-09521,2-2-2019,3-2-2019,3,10,7
211202080,17NB033896,2-2-2019,3-2-2019,487,512,25
211202090,ED-18-15-10357,2-2-2019,3-2-2019,3,6,3
211202110,17NB043961,2-2-2019,3-2-2019,216,230,14
211202170,160133800,2-2-2019,3-2-2019,977,1014,37
211202190,ED-18-15-09525,2-2-2019,3-2-2019,3,8,5
211202210,ED-18-15-09919,2-2-2019,3-2-2019,4,23,19
211202330,17NB043967,2-2-2019,3-2-2019,172,201,29
